Horse ID,Breed,Gender,Age,Height,Color,Location,Euro Price,$ Price,Discipline,Further Characteristics
14783,Friesian horses,Gelding,3 years,"16,1 hh",Black,Riedlingen,N/A,N/A,Driving - Leisure - Dressage ,
14784,American Quarter Horse,Stallion,1 year,N/A,N/A,Sainte-Croix-aux-Mines,"6,500","$6,923.00 ",Western - Cutting - Reining - Leisure ,
14785,New Forest Pony,Gelding,7 years,"14,1 hh",Bay-Dark,Neuwied,"70,000","$74,552.00 ",Dressage - Jumping,
14786,Shetland Ponies,Mare,10 years,14 hh,Gray,Fort worth Texas,N/A,"$2,400.00 ",Eventing - English Pleasure ,
14787,Haflinger,Stallion,4 years,"14,3 hh",N/A,Alzingen,"9,900","$10,544.00 ",Breeding - Mating,
14788,Mecklenburg Warmblood,Gelding,11 years,"16,1 hh",Black,"Wien, Donaustadt","20,000","$21,301.00 ",Dressage - Jumping - Leisure ,
14789,PRE Mix,Gelding,7 years,"15,2 hh",Gray,Navas Del Madroño,N/A,N/A,Eventing ,
14790,Oldenburg-International (OS),Gelding,5 years,"16,1 hh",Brown,Mossautal,"21,000","$22,366.00 ",Jumping - Hunter under saddle - Hunter - Leisure ,
14791,Oldenburg-International (OS),Mare,11 years,"16,2 hh",Brown,Bruchsal,"5,900","$6,284.00 ",Breeding - Jumping - Leisure ,
14792,Holstein,Mare,5 years,"16,2 hh",Brown,Rheinbach,"25,000","$26,626.00 ",Jumping - Hunter under saddle - Eventing - Leisure,
14793,Zangersheider,Gelding,4 years,"16,2 hh",Bay-Dark,Limburg an der Lahn,"17,500","$18,638.00 ",Jumping - Leisure - Dressage ,
14794,Westphalian,Mare,5 years,"16,1 hh",Smoky-Black,Limburg an der Lahn,"10,500","$11,183.00 ",Dressage - Breeding - Jumping - Leisure ,
14795,KWPN,Mare,10 years,"16,2 hh",Brown,Limburg an der Lahn,"15,500","$16,508.00 ",Dressage - Breeding - Jumping - Leisure ,
14796,German Riding Pony,Mare,9 years,"14,1 hh",Bay-Dark,Limburg an der Lahn,"12,000","$12,780.00 ",Jumping - Breeding - Leisure - Dressage ,
14797,Andalusian,Mare,3 years,"15,2 hh",Black,Menorca,"9,750","$10,384.00 ",Dressage - Working Equitation - Baroque - Eventing ,
14798,Zangersheider,Mare,3 years,N/A,N/A,Gronowice,"18,500","$19,703.00 ",Jumping - Hunter under saddle - Hunter ,
14799,Holstein,Mare,5 years,"16,1 hh",Brown,Gronowice,"36,000","$38,341.00 ",Jumping - Eventing ,
14800,Cob,Mare,8 years,12 hh,Black,Sligo,"2,000","$2,130.00 ",Leisure - Jumping ,
14801,Cob,Mare,8 years,"12,1 hh",Chestnut,Sligo,"2,300","$2,450.00 ",Leisure - Jumping ,
14802,Czech Warmblood,Gelding,11 years,"16,1 hh",Brown,Roudnice nad Labem,"40,000","$42,601.00 ",Jumping - Eventing - Dressage ,
14803,Spotted Saddle Horse,Gelding,7 years,15 hh,Tobiano-all-colors,"Lewisburg, TN",N/A,"$14,998.00 ",Gaited - Western allround - Trail ,
14804,Westphalian,Mare,4 years,"15,1 hh",Bay-Dark,Cappeln (Oldenburg),"20,000","$21,301.00 ",Dressage - Breeding - Jumping - Leisure ,
14805,Andalusian,Stallion,3 years,15 hh,Cremello,Vejer de la Frontera,"10,000","$10,650.00 ",Leisure ,
14806,Andalusian,Stallion,7 years,"15,1 hh",Gray,Vejer de la Frontera,"10,000","$10,650.00 ",Leisure - Baroque ,
14807,Paint Horse,Stallion,1 year,"14,2 hh",Overo-all-colors,Hellenthal,"5,900","$6,284.00 ",Reining - Western - Leisure,
14808,Lipizzaner,Stallion,2 years,15 hh,Gray,Vremski Britof,"10,000","$10,650.00 ",Baroque - Working Equitation - Breeding - Dressage ,
14809,Paint Horse,Mare,1 year,"14,2 hh",Palomino,Hellenthal,"4,950","$5,272.00 ",Western - Reining - Leisure,
14810,Paint Horse,Stallion,1 year,"14,3 hh",Tovero-all-colors,Hellenthal,"4,950","$5,272.00 ",Western - Reining - Leisure,
14811,Menorquin,Mare,7 years,"16,1 hh",Black,Menorca,"15,000","$15,975.00 ",Dressage - Breeding - Leisure ,
14812,Shetland Ponies,Mare,10 years,"9,1 hh",N/A,Dorsten,"1,200","$1,278.00 ",Leisure ,
14813,American Quarter Horse,Gelding,13 years,16 hh,Bay,Weatherford TX,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14814,American Quarter Horse,Gelding,9 years,"14,2 hh",Palomino,Paicines CA,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14815,Shetland Ponies,Mare,5 years,"9,1 hh",N/A,Dorsten,"1,200","$1,278.00 ",Leisure ,
14816,Paint Horse,Mare,13 years,15 hh,Tobiano-all-colors,Paicines CA,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14817,American Quarter Horse,Mare,13 years,15 hh,Tobiano-all-colors,Paicines CA,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14818,Shetland Ponies,Mare,5 years,"9,1 hh",N/A,Dorsten,"1,200","$1,278.00 ",Leisure ,
14819,American Quarter Horse,Gelding,11 years,"14,3 hh",Buckskin,Bitterwater CA,N/A,"$3,499.00 ",Trail - Versatility Ranch Horse ,
14820,Paint Horse,Gelding,7 years,"15,1 hh",Tobiano-all-colors,Canton TX,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14821,American Quarter Horse,Gelding,7 years,"15,1 hh",Tobiano-all-colors,Canton TX,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14822,Menorquin,Mare,4 years,16 hh,Black,Menorca,N/A,N/A,Dressage - Breeding - Eventing - Leisure ,
14823,Gypsy Horse,Stallion,3 years,"14,2 hh",Pinto,Wlen,"3,000","$3,195.00 ",Leisure ,
14824,Gypsy Horse,Stallion,2 years,15 hh,Sabino,Wleń,"4,500","$4,793.00 ",Leisure ,
14825,Gypsy Horse,Stallion,2 years,N/A,N/A,Klecza Wlen,"3,200","$3,408.00 ",Leisure ,
14826,Oldenburg,Gelding,7 years,"16,1 hh",Chestnut-Red,Pilisjászfalu,"70,000","$74,552.00 ",Dressage ,
14827,Andalusian,Stallion,5 years,16 hh,Brown,Navalcan,"7,000","$7,455.00 ",Dressage - Baroque - Breeding - Leisure ,
14828,American Quarter Horse,Gelding,11 years,"14,3 hh",Bay,Weatherford TX,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14829,American Quarter Horse,Gelding,4 years,15 hh,Bay,Sweet Springs MO,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14830,Paint Horse,Gelding,7 years,"15,1 hh",Chestnut,Weatherford TX,N/A,"$3,500.00 ",Trail - Jumping ,
14831,American Quarter Horse,Gelding,7 years,"15,1 hh",Chestnut,Weatherford TX,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14832,American Quarter Horse,Gelding,8 years,15 hh,Roan-Bay,Brodhead KY,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14833,Menorquin,Mare,1 year,"15,3 hh",Black,Menorca,N/A,N/A,Baroque - Breeding - Leisure - Dressage ,
14834,Percheron,Gelding,6 years,16 hh,Roan-Blue,Bloomfield IA,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14835,American Quarter Horse,Gelding,6 years,16 hh,Roan-Blue,Bloomfield IA,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14836,Paint Horse,Gelding,9 years,15 hh,Tobiano-all-colors,Stephenville TX,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14837,American Quarter Horse,Gelding,9 years,15 hh,Tobiano-all-colors,Stephenville Tx,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14838,Menorquin,Stallion,1 year,"15,1 hh",Black,Menorca,N/A,N/A,Dressage - Working Equitation - Leisure - Driving ,
14839,Mule,Gelding,15 years,"16,1 hh",Sorrel,Flemingsburg KY,N/A,"$3,500.00 ",Trail - Gaited ,
14840,Missouri Foxtrotter,Gelding,15 years,N/A,N/A,Flemingsburg KY,N/A,"$3,500.00 ",Trail - Gaited ,
14841,Tennessee walking horse,Gelding,15 years,N/A,N/A,"Flemingsburg, KY",N/A,"$3,500.00 ",Trail - Gaited ,
14842,Gypsy Horse,Stallion,1 year,N/A,N/A,Wlen,"4,000","$4,260.00 ",Leisure ,
14843,Gypsy Horse,Stallion,1 year,15 hh,Sabino,Wlen,"3,500","$3,728.00 ",Leisure ,
14844,Oldenburg,Gelding,4 years,"16,3 hh",Smoky-Black,Hungen,"43,000","$45,796.00 ",Dressage,
14845,Gypsy Horse,Stallion,1 year,"15,2 hh",Sabino,Wlen,"4,500","$4,793.00 ",Leisure ,
14846,German Riding Horse,Stallion,3 years,"15,3 hh",Bay-Dark,Maihingen,"5,000","$5,325.00 ",Dressage - Leisure ,
14847,Gypsy Horse,Stallion,1 year,N/A,N/A,Wlen,"4,000","$4,260.00 ",Leisure ,
14848,PRE,Gelding,5 years,"15,1 hh",Gray-Dark-Tan,Euskirchen,"15,000","$15,975.00 ",Doma Vaquera - Dressage ,
14849,Icelandic Horse,Mare,12 years,"13,3 hh",Brown,Lochen am See,"15,000","$15,975.00 ",Gaited - Show - Breeding - Leisure ,
14850,Hanoverian,Mare,1 year,N/A,N/A,Ihlow,"3,900","$4,154.00 ",Dressage - Breeding - Leisure ,
14851,Other Breeds Mix,Mare,8 years,"15,1 hh",Pinto,Ihlow,"3,800","$4,047.00 ",Leisure ,
14852,Oldenburg,Mare,21 years,"15,2 hh",Brown,Ihlow,"4,800","$5,112.00 ",Breeding - Leisure - Dressage ,
14853,Zangersheider,Stallion,1 year,N/A,N/A,Ihlow,"7,500","$7,988.00 ",Jumping ,
14854,PRE,Stallion,6 years,"16,2 hh",Gray,Vejer de la Frontera,"40,000","$42,601.00 ",Dressage - Breeding ,
14855,American Quarter Horse,Gelding,16 years,N/A,N/A,Cody WY,N/A,"$3,500.00 ",Trail - Jumping ,
14856,American Quarter Horse,Gelding,10 years,16 hh,Grullo,Howell MI,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14857,American Quarter Horse,Mare,14 years,"14,2 hh",Roan-Red,camp Verde AZ,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14858,Friesian horses,Gelding,5 years,"15,1 hh",Bay,Warsaw NY,N/A,"$3,500.00 ",Versatility Ranch Horse - Trail ,
14859,American Quarter Horse,Gelding,8 years,"15,2 hh",Chestnut,Lipan TX,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14860,Haflinger,Gelding,15 years,N/A,N/A,Canton TX,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14861,American Quarter Horse,Gelding,8 years,"14,3 hh",Overo-all-colors,Weatherford TX,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14862,Mule,Gelding,10 years,"14,3 hh",Black,Brookville KY,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14863,Percheron,Gelding,6 years,16 hh,Black,Brodhead Ky,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14864,Draft Horse,Gelding,6 years,16 hh,Black,Brodhead KY,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14865,American Quarter Horse,Gelding,6 years,16 hh,Black,Brodhead KY,N/A,"$3,500.00 ",Trail - Versatility Ranch Horse ,
14866,Friesian horses,Gelding,6 years,16 hh,Black,Brodhead Ky,N/A,"$3,499.00 ",Trail - Versatility Ranch Horse ,
14867,Gypsy Horse,Stallion,5 years,"14,1 hh",Sabino,Wlen,"20,000","$21,301.00 ",Mating - Leisure ,
14868,Gypsy Horse Mix,Stallion,4 years,"15,2 hh",Brown,Klecza Wleń,"15,000","$15,975.00 ",Leisure ,
14869,Gypsy Horse,Mare,7 years,"13,1 hh",Black,Klecza Wlen,"10,000","$10,650.00 ",Breeding ,
14870,Rhinelander,Mare,6 years,"16,1 hh",Bay-Dark,Moers,"15,000","$15,975.00 ",Breeding - Leisure - Dressage ,
14871,Irish Sport Horse,Mare,7 years,"15,2 hh",Chestnut,Co.Leitrim,"5,750","$6,124.00 ",Leisure ,
14872,PRE,Gelding,7 years,16 hh,Brown,Castalla,"10,000","$10,650.00 ",Leisure - Working Equitation - Baroque ,
14873,Welsh A (Mountain Pony),Mare,11 years,"13,1 hh",Gray,Mladá Boleslav,"10,000","$10,650.00 ",Dressage - Breeding - Jumping - Hunter ,
14874,Gypsy Horse,Mare,8 years,"13,3 hh",Chestnut-Red,Klecza Wlen,"10,000","$10,650.00 ",Leisure ,
14875,Gypsy Horse,Mare,4 years,"13,3 hh",Roan-Red,Wlen,"10,000","$10,650.00 ",Leisure ,
14876,Oldenburg,Gelding,5 years,17 hh,Brown,Regensburg,"50,000","$53,251.00 ",Dressage ,
14877,KWPN,Mare,7 years,"15,1 hh",Palomino,Chiclana de la Frontera,"2,580","$2,748.00 ",Leisure - Baroque ,
14878,Akhal-Teke,Stallion,4 years,"15,2 hh",Gray,Kisbér,"5,000","$5,325.00 ",Eventing - Leisure - Dressage ,
14879,Lipizzaner,Gelding,4 years,15 hh,Gray,Kozina,"7,000","$7,455.00 ",Baroque - Working Equitation - Dressage ,
14880,Baroque Pinto,Stallion,1 year,N/A,N/A,Chiclana de la Frontera,N/A,N/A,Leisure - Working Equitation - Driving ,
14881,American Quarter Horse,Mare,3 years,14 hh,Sorrel,Waco,N/A,N/A,Versatility Ranch Horse - Cowhorse - Show - Western ,
14882,Andalusian,Stallion,5 years,"15,2 hh",Palomino,Martfeld,"10,000","$10,650.00 ",Dressage - Show - Baroque - Leisure ,
14883,Icelandic Horse,Gelding,13 years,"13,2 hh",Brown,Schneverdingen,"15,000","$15,975.00 ",Gaited - Leisure ,
14884,Icelandic Horse,Gelding,5 years,"13,1 hh",Chestnut-Red,Schneverdingen,"15,000","$15,975.00 ",Leisure - Gaited ,
14885,Icelandic Horse,Mare,7 years,"14,1 hh",Black,Schneverdingen,"20,000","$21,301.00 ",Gaited - Leisure ,
14886,Hanoverian,Mare,1 year,"16,1 hh",Brown,Mansfeld,"3,900","$4,154.00 ",Dressage - Eventing - Jumping ,
14887,Oldenburg,Stallion,1 year,"16,2 hh",Smoky-Black,Ehrenburg,"10,000","$10,650.00 ",Dressage - Eventing - Jumping - Leisure ,
14888,American Quarter Horse,Mare,5 years,"14,1 hh",Palomino,Daknam,"6,500","$6,923.00 ",Western - Breeding ,
14889,Lusitano Mix,Stallion,1 year,"15,1 hh",Gray-Dapple,Bramstedt,"6,500","$6,923.00 ",Dressage ,
14890,PRE,Stallion,5 years,"16,1 hh",Pearl,Valdeavero,"40,000","$42,601.00 ",Dressage ,
14891,Fell pony,Mare,3 years,"13,3 hh",Can be white,Santok,"6,500","$6,923.00 ",Leisure - Trail - Jumping - Driving ,
14892,Oldenburg,Gelding,4 years,"16,2 hh",Brown,Kronberg im Taunus,"40,000","$42,601.00 ",Dressage ,
14893,German Riding Pony,Stallion,1 year,"14,2 hh",Smoky-Black,Walchum,"3,500","$3,728.00 ",Dressage - Breeding - Jumping - Leisure ,
14894,Andalusian,Stallion,9 years,"16,1 hh",Brown,Barcelona,"20,000","$21,301.00 ",Dressage - Leisure ,
14895,Paint Horse,Mare,2 years,N/A,N/A,Rheinfelden,"10,000","$10,650.00 ",Western - Western allround - Working Equitation - Western Pleasure ,
14896,Oldenburg,Mare,13 years,"14,3 hh",Smoky-Black,Walchum,"4,500","$4,793.00 ",Breeding ,
14897,PRE Mix,Stallion,5 years,16 hh,Brown,Navas Del Madroño,"15,000","$15,975.00 ",Eventing ,
14898,American Quarter Horse,Stallion,2 years,N/A,N/A,Rheinfelden,"10,000","$10,650.00 ",Western - Western allround - Western Hunter - Western Pleasure ,
14899,American Quarter Horse,Mare,1 year,N/A,N/A,Rheinfelden,"10,000","$10,650.00 ",Western - Western allround - Western Hunter - Western Pleasure ,
14900,PRE Mix,Stallion,3 years,16 hh,Gray,Barcelona,"15,000","$15,975.00 ",Dressage - Baroque - Breeding - Leisure,"is lunged, vet-check, Halter accustomed"
14901,American Quarter Horse,Mare,1 year,N/A,N/A,Rheinfelden,"10,000","$10,650.00 ",Western - Western allround - Western Hunter - Western Pleasure ,
14902,American Quarter Horse,Stallion,1 year,N/A,N/A,Rheinfelden,"10,000","$10,650.00 ",Western - Western allround - Western Hunter - Western Pleasure ,
14903,American Quarter Horse Mix,Stallion,2 years,"15,1 hh",Brown,Forst,"2,500","$2,663.00 ",Leisure - Western - Driving ,
14904,Baroque Pinto,Mare,1 year,"15,3 hh",N/A,Chiclana de la Frontera,"4,800","$5,112.00 ",Baroque - Leisure ,
14905,Lusitano,Stallion,4 years,N/A,N/A,Chiclana de la Frontera,"10,500","$11,183.00 ",Leisure ,
14906,PRE,Gelding,5 years,"16,1 hh",N/A,Chiclana de la Frontera,"8,900","$9,479.00 ",Leisure ,
14907,Paint Horse,Mare,2 years,"15,1 hh",Champagne,Buchbach,"7,250","$7,721.00 ",Western - Western allround - Cutting - Show ,
